WI	wisconsin	Adams,Amery,Antigo,Appleton,Ashland,Baldwin,Baraboo,Barron,Beaver Dam,Beloit,Berlin,Black River Falls,Bloomer,Brookfield,Burlington,Cedarburg,Chetek,Chilton,Chippewa Falls,Clintonville,Columbus,Crandon,Crivitz,Cudahy,De Forest,De Pere,Delafield,Delavan,Dodgeville,Durand,Eagle River,East Troy,Eau Claire,Edgerton,Elkhorn,Ellsworth,Elm Grove,Fond Du Lac,Fort Atkinson,Franklin,Germantown,Grafton,Green Bay,Greendale,Hales Corners,Hartford,Hartland,Hayward,Holmen,Hudson,Jackson,Janesville,Jefferson,Kaukauna,Kenosha,Kewaunee,La Crosse,Ladysmith,Lake Geneva,Lake Mills,Lancaster,Little Chute,Lodi,Madison,Manitowoc,Marinette,Marshfield,Mauston,Mc Farland,Medford,Menasha,Menomonee Falls,Menomonie,Mequon,Merrill,Middleton,Milton,Milwaukee,Minocqua,Mondovi,Monroe,Mosinee,Mount Horeb,Mukwonago,Muskego,Neenah,Neillsville,New Berlin,New London,New Richmond,Oak Creek,Oconomowoc,Oconto,Oconto Falls,Onalaska,Oregon,Oshkosh,Pewaukee,Phillips,Platteville,Plover,Plymouth,Port Washington,Portage,Poynette,Prairie Du Chien,Pulaski,Racine,Reedsburg,Rhinelander,Rice Lake,Richland Center,Ripon,River Falls,Saint Croix Falls,Sauk City,Schofield,Shawano,Sheboygan,Sheboygan Falls,Siren,Slinger,South Milwaukee,Sparta,Spooner,Stevens Point,Stoughton,Sturgeon Bay,Sturtevant,Sun Prairie,Superior,Sussex,Thiensville,Tomah,Tomahawk,Two Rivers,Union Grove,Verona,Viroqua,Walworth,Waterford,Watertown,Waukesha,Waunakee,Waupaca,Waupun,Wausau,Wautoma,West Bend,Whitewater,Wisconsin Dells,Wisconsin Rapids,Woodruff
WA	washington	Aberdeen,Anacortes,Arlington,Auburn,Bainbridge Island,Battle Ground,Belfair,Bellevue,Bellingham,Blaine,Bothell,Bremerton,Buckley,Burlington,Camas,Centralia,Chehalis,Chelan,Cheney,Clarkston,Cle Elum,Clinton,Colfax,Colville,Coupeville,Deer Park,Duvall,East Wenatchee,Eastsound,Eatonville,Edmonds,Ellensburg,Elma,Enumclaw,Ephrata,Everett,Federal Way,Ferndale,Forks,Freeland,Friday Harbor,Gig Harbor,Goldendale,Graham,Grandview,Hoquiam,Issaquah,Kelso,Kenmore,Kennewick,Kent,Kingston,Kirkland,Lacey,Lake Stevens,Lakewood,Langley,Leavenworth,Long Beach,Longview,Lynden,Lynnwood,Maple Valley,Marysville,Mercer Island,Monroe,Montesano,Moses Lake,Mount Vernon,Mountlake Terrace,Mukilteo,Newport,North Bend,Oak Harbor,Olympia,Omak,Othello,Pasco,Port Angeles,Port Orchard,Port Townsend,Poulsbo,Prosser,Pullman,Puyallup,Quincy,Redmond,Renton,Richland,Ridgefield,Sammamish,Seattle,Sedro Woolley,Selah,Sequim,Shelton,Silverdale,Snohomish,Spanaway,Spokane,Stanwood,Sumner,Sunnyside,Tacoma,Toppenish,Vancouver,Vashon,Walla Walla,Washougal,Wenatchee,White Salmon,Woodinville,Woodland,Yakima,Yelm
VA	virginia	Abingdon,Alexandria,Altavista,Amelia Court House,Amherst,Annandale,Appomattox,Arlington,Ashburn,Ashland,Bassett,Bedford,Berryville,Big Stone Gap,Blacksburg,Blackstone,Bluefield,Bristol,Burke,Centreville,Chantilly,Charlottesville,Chatham,Chesapeake,Chester,Chesterfield,Christiansburg,Clifton Forge,Clintwood,Coeburn,Collinsville,Colonial Heights,Covington,Culpeper,Danville,Dublin,Dulles,Dumfries,Emporia,Fairfax,Fairfax Station,Falls Church,Farmville,Floyd,Forest,Franklin,Fredericksburg,Front Royal,Gainesville,Galax,Gate City,Glen Allen,Gloucester,Great Falls,Grundy,Hampton,Harrisonburg,Hayes,Haymarket,Herndon,Hillsville,Hopewell,Kilmarnock,King George,Lawrenceville,Lebanon,Leesburg,Lexington,Lorton,Louisa,Luray,Lynchburg,Madison,Madison Heights,Manassas,Marion,Martinsville,Mc Lean,Mechanicsville,Middleburg,Midlothian,Moneta,Newport News,Norfolk,Norton,Oakton,Occoquan,Onancock,Orange,Pearisburg,Pennington Gap,Petersburg,Poquoson,Portsmouth,Powhatan,Pulaski,Purcellville,Radford,Reston,Richlands,Richmond,Roanoke,Rocky Mount,Rustburg,Salem,Sandston,Smithfield,South Boston,South Hill,Spotsylvania,Springfield,Stafford,Staunton,Stephens City,Sterling,Stuart,Suffolk,Tappahannock,Tazewell,Triangle,Troutville,Vienna,Vinton,Virginia Beach,Warrenton,Warsaw,Waynesboro,Williamsburg,Winchester,Wise,Woodbridge,Woodstock,Wytheville,Yorktown
VT	vermont	Barre,Bennington,Brattleboro,Burlington,Colchester,Essex Junction,Ludlow,Manchester,Middlebury,Milton,Montpelier,Morrisville,Newport,Northfield,Randolph,Rutland,Saint Albans,Saint Johnsbury,Shelburne,South Burlington,Springfield,Stowe,Waitsfield,Waterbury,White River Junction,Williston,Woodstock
TN	tennessee	Alamo,Alcoa,Antioch,Arlington,Ashland City,Athens,Blountville,Bluff City,Bolivar,Brentwood,Bristol,Brownsville,Camden,Carthage,Centerville,Chattanooga,Church Hill,Clarksville,Cleveland,Clinton,Collierville,Columbia,Cookeville,Cordova,Covington,Crossville,Dandridge,Dayton,Dickson,Dresden,Dunlap,Dyersburg,Elizabethton,Erin,Erwin,Etowah,Fairview,Fayetteville,Franklin,Gainesboro,Gallatin,Gatlinburg,Germantown,Goodlettsville,Greeneville,Harriman,Henderson,Hendersonville,Hermitage,Hixson,Hohenwald,Humboldt,Huntingdon,Jackson,Jamestown,Jasper,Jefferson City,Johnson City,Jonesborough,Kingsport,Kingston,Knoxville,La Follette,La Vergne,Lafayette,Lawrenceburg,Lebanon,Lenoir City,Lewisburg,Lexington,Livingston,Loudon,Madison,Madisonville,Manchester,Martin,Maryville,Maynardville,Mc Kenzie,Mc Minnville,Memphis,Milan,Millington,Morristown,Mount Juliet,Mountain City,Munford,Murfreesboro,Nashville,New Tazewell,Newport,Oak Ridge,Old Hickory,Oneida,Ooltewah,Paris,Parsons,Pigeon Forge,Pikeville,Portland,Powell,Pulaski,Ripley,Rockwood,Rogersville,Savannah,Selmer,Sevierville,Shelbyville,Signal Mountain,Smithville,Smyrna,Soddy Daisy,Somerville,Sparta,Springfield,Sweetwater,Tazewell,Trenton,Tullahoma,Union City,Wartburg,Waverly,Waynesboro,White House,Winchester,Woodbury
SD	southdakota	Aberdeen,Belle Fourche,Brookings,Chamberlain,Clark,Custer,Eagle Butte,Hot Springs,Huron,Madison,Milbank,Mitchell,Mobridge,Pierre,Rapid City,Sioux Falls,Sisseton,Spearfish,Sturgis,Vermillion,Watertown,Winner,Yankton
SC	southcarolina	Abbeville,Aiken,Anderson,Andrews,Bamberg,Barnwell,Batesburg,Beaufort,Belton,Bennettsville,Bishopville,Bluffton,Camden,Cayce,Chapin,Charleston,Cheraw,Chesnee,Chester,Chesterfield,Clemson,Clinton,Clover,Columbia,Conway,Darlington,Dillon,Duncan,Easley,Edgefield,Florence,Fort Mill,Fountain Inn,Gaffney,Georgetown,Goose Creek,Greenville,Greenwood,Greer,Hampton,Hardeeville,Hartsville,Hilton Head Island,Inman,Irmo,Johns Island,Kingstree,Lake City,Lancaster,Landrum,Laurens,Leesville,Lexington,Little River,Longs,Loris,Lugoff,Lyman,Manning,Marion,Mauldin,Mc Cormick,Moncks Corner,Mount Pleasant,Mullins,Murrells Inlet,Myrtle Beach,Newberry,North Augusta,North Charleston,North Myrtle Beach,Orangeburg,Pageland,Pawleys Island,Pendleton,Pickens,Piedmont,Ridgeland,Rock Hill,Saint George,Saint Matthews,Saluda,Seneca,Simpsonville,Spartanburg,Summerville,Sumter,Taylors,Travelers Rest,Union,Walhalla,Walterboro,West Columbia,Westminster,Winnsboro,Woodruff,York
RI	rhodeisland	Barrington,Bristol,Central Falls,Coventry,Cranston,Cumberland,East Greenwich,East Providence,Johnston,Lincoln,Middletown,Narragansett,Newport,North Kingstown,North Providence,North Smithfield,Pawtucket,Portsmouth,Providence,Riverside,Rumford,Smithfield,Tiverton,Wakefield,Warren,Warwick,West Warwick,Westerly,Woonsocket
PA	pennsylvania	Abington,Akron,Aliquippa,Allentown,Allison Park,Altoona,Ambler,Ambridge,Annville,Apollo,Ardmore,Aston,Avondale,Bala Cynwyd,Bangor,Bath,Beaver,Beaver Falls,Bedford,Belle Vernon,Bellefonte,Bensalem,Berwick,Berwyn,Bethel Park,Bethlehem,Birdsboro,Blairsville,Bloomsburg,Blue Bell,Boyertown,Bradford,Bridgeville,Bristol,Brodheadsville,Brookhaven,Brookville,Broomall,Brownsville,Bryn Mawr,Buckingham,Burgettstown,Butler,Camp Hill,Canonsburg,Carbondale,Carlisle,Carnegie,Catasauqua,Chadds Ford,Chalfont,Chambersburg,Charleroi,Cheltenham,Chester,Chester Heights,Chester Springs,Clairton,Clarion,Clarks Summit,Clearfield,Clifton Heights,Coatesville,Collegeville,Columbia,Connellsville,Conshohocken,Coopersburg,Coplay,Coraopolis,Corry,Coudersport,Cranberry Twp,Dallas,Danville,Darby,Delmont,Denver,Devon,Dickson City,Dillsburg,Douglassville,Dover,Downingtown,Doylestown,Drexel Hill,Du Bois,Duncansville,East Stroudsburg,Easton,Ebensburg,Edinboro,Elizabeth,Elizabethtown,Elkins Park,Ellwood City,Emmaus,Enola,Ephrata,Erie,Everett,Export,Exton,Fairless Hills,Fairview,Feasterville Trevose,Fleetwood,Flourtown,Folsom,Ford City,Fort Washington,Frackville,Franklin,Gap,Gettysburg,Gibsonia,Gilbertsville,Girard,Gladwyne,Glen Mills,Glenolden,Glenshaw,Glenside,Greencastle,Greensburg,Greenville,Grove City,Hamburg,Hanover,Harleysville,Harrisburg,Hatboro,Hatfield,Haverford,Havertown,Hawley,Hazleton,Hellertown,Hermitage,Hershey,Hollidaysburg,Homestead,Honesdale,Honey Brook,Horsham,Hummelstown,Huntingdon,Huntingdon Valley,Imperial,Indiana,Irwin,Jamison,Jeannette,Jenkintown,Jersey Shore,Jim Thorpe,Johnstown,Kane,Kennett Square,King of Prussia,Kingston,Kittanning,Kutztown,Lafayette Hill,Lake Ariel,Lancaster,Langhorne,Lansdale,Lansdowne,Latrobe,Lebanon,Leechburg,Leesport,Lehighton,Lemoyne,Leola,Levittown,Lewisburg,Lewistown,Ligonier,Lititz,Littlestown,Lock Haven,MacUngie,Malvern,Manheim,Mansfield,Marcus Hook,Mars,Mc Connellsburg,Mc Kees Rocks,Mc Keesport,Meadville,Mechanicsburg,Media,Mercer,Mercersburg,Middletown,Mifflinburg,Mifflintown,Milford,Millersburg,Millersville,Milton,Mohnton,Monaca,Monessen,Monongahela,Monroeville,Montgomeryville,Montoursville,Montrose,Morgantown,Morrisville,Moscow,Mount Carmel,Mount Joy,Mount Pleasant,Mount Pocono,Mountain Top,Muncy,Murrysville,Myerstown,Nanticoke,Narberth,Natrona Heights,Nazareth,New Brighton,New Castle,New Cumberland,New Holland,New Hope,New Kensington,New Oxford,Newport,Newtown,Newtown Square,Newville,Norristown,North East,North Versailles,North Wales,Northampton,Northumberland,Oakdale,Oakmont,Oil City,Old Forge,Olyphant,Orwigsburg,Oxford,Palmerton,Palmyra,Paoli,Pennsburg,Perkasie,Philadelphia,Philipsburg,Phoenixville,Pittsburgh,Pittston,Plymouth Meeting,Pottstown,Pottsville,Punxsutawney,Quakertown,Quarryville,Reading,Red Lion,Richboro,Ridgway,Ridley Park,Rochester,Royersford,Saint Marys,Saylorsburg,Sayre,Schuylkill Haven,Scottdale,Scranton,Selinsgrove,Sellersville,Sewickley,Shamokin,Sharon,Sharon Hill,Sharpsville,Shavertown,Shenandoah,Shippensburg,Shrewsbury,Slatington,Slippery Rock,Somerset,Souderton,Southampton,Spring City,Springfield,State College,Strasburg,Stroudsburg,Sunbury,Swarthmore,Tamaqua,Tannersville,Tarentum,Telford,Temple,Titusville,Towanda,Troy,Tunkhannock,Turtle Creek,Tyrone,Uniontown,Upper Darby,Vandergrift,Verona,Warminster,Warren,Warrington,Washington,Waterford,Wayne,Waynesboro,Waynesburg,Wellsboro,West Chester,West Grove,West Mifflin,Wexford,Whitehall,Wilkes Barre,Williamsport,Willow Grove,Willow Street,Wind Gap,Windber,Wynnewood,Wyoming,York,Zelienople
OR	oregon	Albany,Ashland,Astoria,Aurora,Baker City,Bandon,Beaverton,Bend,Boring,Brookings,Burns,Canby,Central Point,Clackamas,Coos Bay,Corvallis,Cottage Grove,Dallas,Enterprise,Estacada,Eugene,Florence,Forest Grove,Gold Beach,Grants Pass,Gresham,Hermiston,Hillsboro,Hood River,John Day,Junction City,Klamath Falls,La Grande,La Pine,Lake Oswego,Lakeview,Lebanon,Lincoln City,Madras,McMinnville,Medford,Milton Freewater,Molalla,Myrtle Creek,Newberg,Newport,North Bend,Ontario,Oregon City,Pendleton,Philomath,Portland,Prineville,Redmond,Reedsport,Roseburg,Saint Helens,Salem,Sandy,Scappoose,Seaside,Sherwood,Silverton,Sisters,Springfield,Stayton,Sweet Home,The Dalles,Tillamook,Troutdale,Tualatin,Waldport,Warrenton,West Linn,White City,Wilsonville,Woodburn
